Name	Set	Imagefile	Type	Level	Logo	Rarity	Text
Rashemen	3RD	022	Realm		FR	Realm	Red Wizard champions may not attack Rashemen. All other wizards lose 2 levels when attacking. Coast. 
Damara	3RD	023	Realm		FR	Realm	Double the level of a defending Forgotten Realms champion. 
Narfell	3RD	024	Realm		FR	Realm	The riders of Narfell add 3 levels to all defending champions and allies. Coast. 
Dragonspear Castle	3RD	025	Realm		FR	Realm	All allies of a defending monster gain 2 levels. 
Daggerdale	3RD	026	Realm		FR	Realm	Allies cannot be used when attacking this realm. 
Darkhold	3RD	027	Realm		FR	Realm	All defenders of Darkhold gain 3 levels if the Ruins of Zhentil Keep is in play anywhere. 
Haunted Hall of Eveningstar	3RD	028	Realm		FR	Rare	Draw one card and place it in your hand when this realm is played or rebuilt.
Evermeet	3RD	029	Realm		FR	Realm	Any champion can use wizard spells when defending Evermeet. Flyers, swimmers, and earthwalkers cannot attack it. 
The Trollmoors	3RD	030	Realm		FR	Realm	The Trollmoors regenerate and must be defeated twice in one turn before being razed. 
Berdusk	3RD	031	Holding		FR	Uncommon	A wizard or cleric gains 3 levels when defending the attached realm. 
Tantras	3RD	032	Holding		FR	Uncommon	No spells can be cast when attacking or defending Tantras. 
Mulmaster	3RD	033	Holding		FR	Uncommon	Draw another card every time a spell card is played. 
Hillsfar	3RD	034	Holding		FR	Uncommon	Any champion gains 3 levels when defending the attached realm. 
Suzail	3RD	035	Holding		FR	Uncommon	Any champion can cast wizard spells when defending the attached realm. If attached to Cormyr, all defenders also gain 4 levels. 
Arabel	3RD	036	Holding	4	FR	Uncommon	The attached realm can defend itself as a level 4 monster. 
Fortifications	3RD	037	Holding		FR	Uncommon	The foul air of Castle Draw causes each attacking champion to become ill. All champions, even if victorious, are discarded. 
Fortifications	3RD	038	Holding		FR	Uncommon	Each defender of the attached realm gains 3 levels. 
Selune	3RD	039	Holding		FR	Uncommon	Undead cannot attack the attached realm. 
Peasant Militia	3RD	040	Holding		FR	Uncommon	Each champion and ally attacking the attached realm loses 1 level. 
Alias the Sell-Sword	3RD	041	Hero	6	FR	Uncommon	Immune to offensive spells. 
King Azoun IV	3RD	042	Hero	7	FR	Rare	All allies of King Azoun IV gain 1 level. 
Maligor the Red	3RD	043	Wizard	3	FR	Rare	Once per battle Maligor can shift one opposing ally to his own side. 
Elminster the Mage	3RD	044	Wizard	9	FR	Uncommon	Immune to offensive spells. 
Drizzt Do' Urden	3RD	045	Hero	8	FR	Common	Elf (drow). When defending, Drizzt must be defeated twice in one battle before he is discarded. 
Midnight, Goddess of Magic	3RD	046	Wizard	7	FR	Rare	If only one Midnight is in play, wizards cannot cast spells without her permission. She also destroys all magical items held by the opposing champion. 
Torg Mac Cei, the Ironlord	3RD	047	Hero	6	FR	Uncommon	Dwarf. Earthwalker. Torg's level is doubled when defending or attacking the Great Rift. Dwarf. 
The Pereghost	3RD	048	Monster	7	FR	Rare	All the pereghost's allies gain 2 levels. 
Bruenor Battlehammer	3RD	049	Hero	5	FR	Rare	Bruenor gains 2 levels when fighting a monster.
Marco Volo	3RD	050	Hero	3	FR	Uncommon	At the start of the player's turn, he can look at the top card of any draw pile and discard it if he wants. 
The Harpers	3RD	051	Hero	6	FR	Common	The Harpers can cast wizard and cleric spells, but the player must choose one type (wizard or cleric) in each battle when this card is used. 
Gnomes of Samek	3RD	052	Hero	4	FR	Uncommon	Gnome. Earthwalker. The gnomes' armor gives them the ability to ignore one ally, magical item, or offensive spell each round. Gnome. 
Adventurers!	3RD	053	Hero	3	FR	Common	Can use cleric and wizard spells. 
War Party	3RD	054	Ally	4	AD&D	Common	If more than two of this card are involved in one round of combat (on either side), each war party receives an additional +4 for each war party in play. No limit per deck. 
Crime Lord	3RD	055	Hero	7	FR	Uncommon	The Crime Lord can also be played as an event to destroy one holding. The destroyed holding and the Crime Lord are discarded. Harmful. 
Adventurers	3RD	056	Hero	4	FR	Common	All allies of these adventurers gain 1 level. 
The Jotunslayers	3RD	057	Hero	4	FR	Common	Dwarf. Earthwalker. The Jotunslayers are level 8 if the opposing champion is a monster. Dwarf. 
Armies of Bloodstone	3RD	058	Ally	4	AD&D	Uncommon	This ally can save a champion - the player can withdraw his champion from combat and continue with a new one (allies and spells are discarded). The rescued champion cannot attack or defend until this player's next turn. 
The Iron Legion	3RD	059	Ally	3	AD&D	Common	This ally instills fear in all opposing heroes, reducing their base level to 0 in battle. 
Tergoz Tenhammer	3RD	060	Hero	5	GH	Common	Tergoz's mighty hammer has slayed ten men with one blow! Allies are so terrified they cannot be played against Tergoz. 
Myrmidons	3RD	061	Ally	4	AD&D	Rare	When the myrmidons are discarded, the player shuffles all discards back into the draw deck. 
The Magister	3RD	062	Wizard	4	FR	Rare	Immune to psionicists. The magister and all attached items can be moved from the player's pool to his hand during his phase 5. 
Karlott the Shaman	3RD	063	Cleric	4	FR	Uncommon	"Must remain in his pool for one turn; after that, he may be discarded to the Abyss to retrieve a used event to the player's hand. ...may be discarded to the Abyss to retrieve an event... "
King Havlor II	3RD	064	Hero	5	FR	Uncommon	The king has a permanent +5 magical item (flaming sword) attached to him that cannot be removed by any means. 
Pteranadon	3RD	065	Ally	2	AD&D	Common	The Pteranadon gains 3 levels when defending Chult. 
Gorgosaurus	3RD	066	Ally	4	AD&D	Rare	The Gorgosaurus gains 3 levels when defending Chult. 
Greater Feyr	3RD	067	Monster	5	FR	Rare	The first enemy ally played against the feyr in each battle is discarded immediately. 
Cleric of Gond	3RD	068	Cleric	4	FR	Rare	
Cleric of Torm	3RD	069	Cleric	5	FR	Rare	May be discarded at any time from a player's pool to eliminate any ally from play. 
Cleric of Mask	3RD	070	Cleric	4	FR	Rare	This card and attached magical items and artifact are kept face down, and revealed only in battle. 
Drow Matron	3RD	071	Wizard	5	FR	Uncommon	Elf (drow). The drow matron gains 3 levels when defending Menzoberranzan. Elf. 
Dracolich	3RD	072	Monster	6	FR	Rare	Can use wizard spells. Undead. Flyer. 
Vasos Flameslayer	3RD	073	Hero	5	FR	Rare	Dwarf. Earthwalker. Vasos gains 3 levels when fighting monsters. Dwarf. 
Allisa of the Mist	3RD	074	Hero	5	FR	Common	Allisa gains 3 levels when fighting monsters. 
Grypht the Saurial	3RD	075	Wizard	4	FR	Uncommon	Negates the levels and special powers of all offensive magical items of less than +4 enchantment. 
Worden Ironfist	3RD	076	Hero	5	FR	Rare	Dwarf. Earthwalker. Worden gains 3 levels when fighting monsters. Dwarf. 
Amarill	3RD	077	Cleric	3	FR	Uncommon	If Amarill is defeated, the player can pull one other champion from his discards and return it to his hand. 
Joliet the Rash	3RD	078	Hero	4	FR	Common	Once in play, Joliet must attack each turn, if possible, or be discarded. If victorious when attacking, Joliet gets a spoils of victory, even if a realm is not raised. 
Dwarf of Earthfast	3RD	079	Hero	2	FR	Common	Dwarf. Earthwalker. Gains 4 levels if the opposing champion is a monster. Dwarf. 
The Black Courser	3RD	080	Monster	4	FR	Rare	The Black Courser's level is 8 when fighting dragons or undead. 
Hornhead Saurial	3RD	081	Ally	3	AD&D	Common	The attached champion and all his allies are immune to magical items of +3 or less. 
Dagrande	3RD	082	Hero	4	FR	Uncommon	Dwarf. Earthwalker. Particularly proud of his ability to cleave through an opponent, Dagrande gets twice as many spoils of victory is victorious. Dwarf. 
Mind Flayer	3RD	083	Ally	3	AD&D	Rare	When played, the mind flayer can immediately shift one opposing ally to its own side for that round of battle. The ally loses 1 level. 
Noble Djinni	3RD	084	Ally	4	AD&D	Rare	The opponent cannot play flyers this round and all opposing flyers already in the battle are discarded. 
Hubadai	3RD	085	Hero	4	FR	Rare	Flyer.
Intellect Devourer	3RD	086	Ally	1	AD&D	Uncommon	Immediately destroys an opposing champion of base level 5 or less. 
Shandril	3RD	087	Hero	3	FR	Common	Immune to offensive spells. 
Triceratops	3RD	088	Ally	3	AD&D	Rare	Triceratops gains 6 levels when defending Chult.
Cleric of Malar	3RD	089	Cleric	4	FR	Common	This cleric gains 2 levels when attacking realms from outside the Forgotten Realms. 
Airship	3RD	090	Event		AD&D	Uncommon	"Destroys any two allies, chosen by this card's player; choice does not have to be immediate. (Harmful) Harmful. "
Bad Omens	3RD	091	Event		AD&D	Common	All champions and allies, other than the event player's, lose 2 levels until the player's next turn. (Harmful) Harmful. 
Fortunate Omens	3RD	092	Event		AD&D	Common	This player's allies gain 3 levels until his next turn. (Helpful) Helpful. 
Rod of Shapechange	3RD	093	Artifact		FR	Uncommon	"Select any champion from the discard pile and use it in battle in place of this champion. After winning the battle, this champion and artifact return to the pool; the substitute is discarded. "
Dwarven Hammer	3RD	094	Magic Item	3	AD&D	Rare	The mighty hammer of the dwarves slays any giant opposing the attached champion. (Off) Weapon 
Staff of Striking	3RD	095	Magic Item	3	AD&D	Rare	The bonus becomes +5 levels if attached to a cleric. (Off) Weapon 
Horrors of the Abyss	3RD	096	Wizard Spell	5	AD&D	Uncommon	After the round of battle is concluded (win or lose), this spell and the opposing champion are sent to the Abyss. (Off/4/5) 
Flameblade	3RD	097	Magic Item	2	AD&D	Rare	(Off)
Figurine of Wondrous Power	3RD	098	Magic Item	3	AD&D	Common	The bearer is immune to psionic attacks. If on the losing side of a battle, he can eliminate one magical item in play. (Off) 
Cataclysm!	3RD	099	Event		AD&D	Uncommon	"Destroys one realm of the player's choice; that realm is discarded. (Harmful) Harmful. "
Good Fortune	3RD	100	Event		AD&D	Uncommon	The player of this card draws five cards immediately. Helpful. 
Surprise Raid	3RD	101	Event		AD&D	Common	This player's champion and allies are doubled in levels for one round of battle. Helpful. 
Banner of the One-Eyed God	3RD	102	Magic Item	1	AD&D	Common	All of this champion's allies gain 1 level. (Def) 
Viperhand	3RD	103	Magic Item		AD&D	Uncommon	Any champion with the Viperhand can cast wizard spells. (Def) 
Orb of Doom	3RD	104	Magic Item	2	AD&D	Common	The attached champion can attack again this round if victorious. If he razes a realm, the champion and all attachments are discarded. (Def) 
Staff of Conjuring	3RD	105	Magic Item	5	AD&D	Common	Can retrieve an ally from the discard pile during each battle the attached champion is in. If defeated, the staff is broken and sent to the Abyss. (Def) 
Spell of Formless Horror	3RD	106	Wizard Spell	-3	AD&D	Uncommon	Cast on opposing champion to reduce its level by 3. Spell remains until dispelled. (Off/3/4/5) 
Safe Harbor!	3RD	107	Event		AD&D	Rare	Every player can immediately rebuild one razed realm. Helpful. 
Labor of Legend	3RD	108	Event		AD&D	Common	"One razed realm is rebuilt by a champion from the player's pool; the champion is discarded. Helpful. "
Wand of Light	3RD	109	Magic Item	3	AD&D	Uncommon	Any undead, werecreature, or vampire loses 2 levels against the wand. (Off) 
Elf Galleon	3RD	110	Ally	3	AD&D	Rare	Flyer. Swimmer. All allies played after the elf galleon in this battle are also flyers and swimmers. 
The Free City of Greyhawk	3RD	111	Realm		GH	Rare	Any champion defending Greyhawk can cast cleric and wizard spells. Coast. 
The Lands of Iuz	3RD	112	Realm		GH	Uncommon	Any champion defending the Lands of Iuz can cast wizard spells. All defenders gain 3 levels if anyone has Iuz in play. Coast. 
The Pomarj	3RD	113	Realm		GH	Realm	A monster defending the Pomarj gains 3 levels. Coast. 
Hold of the Sea Princes	3RD	114	Realm	1	GH	Realm	This realm can defend itself as a level 1 champion. Coast. 
The Yeomanry	3RD	115	Realm		GH	Realm	Earthwalkers gain 2 levels when defending the Yeomanry. 
Blackmoor	3RD	116	Realm		GH	Uncommon	All magical items and artifacts defending Blackmoor gain 2 levels. Coast. 
The Horned Society	3RD	117	Realm		GH	Realm	At the start of this player's turn, send one champion to Limbo until the end of that player's next turn. Coast. 
The Wolf Nomads	3RD	118	Realm		GH	Realm	The Wolf Nomads are immune to the power of Iuz the Evil. But they are fearful of dragons, and dragons gain 1 level when attacking this realm. Coast. 
Sterich	3RD	119	Realm		GH	Realm	Any monster defending Sterich gains 5 levels. 
Nyrond	3RD	120	Realm		GH	Realm	Elves, gnomes, and halflings gain 3 levels when defending Nyrond. 
Veluna	3RD	121	Realm		GH	Realm	Any champion defending Veluna can use cleric spells. 
Furyondy	3RD	122	Realm		GH	Realm	When first played, Furyondy can remove one wizard from play (the wizard is discarded). Coast. 
The Great Kingdom	3RD	123	Realm		GH	Rare	No undead can attack the Great Kingdom. The player's maximum hand increases by two. 
Temple of Elemental Evil	3RD	124	Realm		GH	Uncommon	Draw three cards immediately when the temple is played. 
Greyhawk Ruins	3RD	125	Realm		GH	Uncommon	All Greyhawk champions of this player gain 2 levels. 
Perrenland	3RD	126	Realm		GH	Realm	Maximum hand size for all opposing players is reduced by one. Coast. 
Keoland	3RD	127	Realm		GH	Realm	Can defend itself as a level 0 hero and use allies and magical items. If this hero successfully defends the realm, he can keep one ally or magical item. 
Celene	3RD	128	Realm		GH	Realm	Monsters cannot attack or defend Celene. Elves gain 2 levels when defending this realm. 
The Bright Desert	3RD	129	Realm		GH	Realm	Cannot be attacked by heroes. Coast. 
Theocracy of the Pale	3RD	130	Realm		GH	Realm	"Clerics refuse to attack the Theocracy; clerics who defend the realm, however, double their base level. "
The Bone March	3RD	131	Realm		GH	Realm	Heroes cannot be played in defense of this realm. Undead defenders gain 4 levels. Coast. 
The Duchy of Urnst	3RD	132	Realm		GH	Realm	The naval fleet of the duchy is so powerful that the realm is immune to swimmers. 
The Sea Barons	3RD	133	Realm		GH	Realm	Any holding attached to the Great Kingdom also applies to this realm. Coast. 
Bissel	3RD	134	Realm		GH	Common	This player's Geryhawk realms are immune to offensive spells and harmful events if Bissel is also in play anywhere. 
The Scarlet Brotherhood	3RD	135	Realm		GH	Uncommon	Player can eliminate one champion from any pool at the start of his turn. This realm is then razed. Coast. 
Irongate	3RD	136	Realm		GH	Realm	This player's Geryhawk champions are immune to offensive spells and harmful events if Irongate is also in play anywhere. Coast. 
Principality of Ulek	3RD	137	Realm		GH	Common	This realm has coastal fortifications and is immune to all swimmers. Coast. 
County of Sunndi	3RD	138	Realm		GH	Common	"Any champion can use wizard spells when defending the County of Sunndi; spells are doubled in level. "
Duchy of Tenh	3RD	139	Realm		GH	Common	If Menzoberranzan is played or razed while this realm is in play, this player draws 3 cards. 
Burneal Forest	3RD	140	Realm		GH	Common	Any champion and allies who attack Burneal Forest lose 2 levels. 
Castle Hart	3RD	141	Holding		GH	Common	Any champion and allies defending Castle Hart gain 2 levels. 
Arms of the Horned Society	3RD	142	Holding	5	GH	Rare	This player's Greyhawk monsters all have the ability to earthwalk, as do their allies. 
Arms of Iuz	3RD	143	Holding		GH	Rare	Any champion defending the attached realm can cast cleric spells.
Arms of Greyhawk	3RD	144	Holding		GH	Rare	If Iuz the Evil is in play, this player's undead are doubled in base level. 
Arms of the Great Kingdom	3RD	145	Holding		GH	Rare	All undead allies of this player are tripled in level, when attacking or defending. 
Arms of Furyondy	3RD	146	Holding		GH	Common	The attached realm deflects all offensive spells and harmful events directed at it to any other realm of the player's choice. 
Arms of Nyrond	3RD	147	Holding		GH	Common	This player's monsters have the ability to fly, swim, or earthwalk as needed. 
Skull Keep	3RD	148	Holding	4	GH	Common	Any champion defending the attached realm gains 4 levels. 
Fortification	3RD	149	Holding		GH	Common	The attached realm and all its defenders are immune to offensive wizard and cleric spells. 
Siege!	3RD	150	Event		AD&D	Uncommon	"Razes the first realm of every player, regardless of special powers; if a player's first realm is already razed, he ignores this event. (Harmful) Harmful. "
War Banner	3RD	151	Magic Item	1	AD&D	Common	Every champion and ally of this player gains 1 level. (Def) 
Codex of the Infinite Planes	3RD	152	Artifact		GH	Common	All of this player's champions are immune to offensive magical items and spells. (Def) 
Crystal of the Ebon Flame	3RD	153	Magic Item	6	AD&D	Uncommon	The champion who holds this crystal must attack on his turn or be discarded. (Off) 
Hordes of Castle Greyhawk	3RD	154	Ally	5	GH	Rare	If used in the victorious defense of a Greyhawk realm, these allies remain with the realm until it is razed. 
Skeletal Horde	3RD	155	Monster	5	GH	Common	Undead. Can cast wizard and cleric spells. All allies played with it become undead. 
Eye and Hand of Vecna	3RD	156	Artifact	2,5	GH	Uncommon	The attached champion gains 5 levels when attacking, 2 when defending. 
Orb of Dragonkind	3RD	157	Artifact	4	GH	Uncommon	This player's Greyhawk realms cannot be attacked by dragons or monsters. 
Baba Yaga's Hut	3RD	158	Artifact		GH	Uncommon	All of this player's allies are considered flyers. 
Chariot of Lyrx	3RD	159	Artifact	3	GH	Rare	"The attached champion gains 3 levels and becomes a flyer; all allies can also fly. "
Cup of Al'Akbar	3RD	160	Artifact		GH	Uncommon	If the player discards three cards from his hand at the end of his turn, he can return any one card from the discard pile to his hand. 
Rary the Traitor	3RD	161	Wizard	4	GH	Common	Rary gains 3 levels when fighting a wizard and/or 3 levels when defending a realm with an attached holding. 
Mordenkainen	3RD	162	Wizard	7	GH	Rare	Any magical item attached to Mordenkainen cannot be removed by any means. 
Tysiln San	3RD	163	Wizard	5	GH	Uncommon	Elf (drow). This champion hates Dragonlance heroes and automatically wins any battle against them. Elf. 
Otto	3RD	164	Wizard	6	GH	Rare	Otto can cast both wizard and cleric spells. 
Mika the Wolf-Nomad	3RD	165	Wizard		GH	Rare	Mika gains 3 levels when the opponent uses allies against him. 
Lolth, the Spider Queen	3RD	166	Monster	9	GH	Rare	Lolth can cast both wizard and cleric spells. If Lolth is defeated, shuffle her back into the draw deck. 
Iuz the Evil	3RD	167	Monster	8	GH	Uncommon	Iuz can cast wizard spells. If defeated, Iuz forces one razed enemy realm to be discarded, or razes one realm. 
Mutiny!	3RD	168	Event		AD&D	Rare	No battles can be fought until the player's next turn. A battle in progress stops immediately with no victor, allies are discarded.
Swordwraith	3RD	169	Ally	4	AD&D	Rare	Undead. If on the losing side of a battle, this ally destroys one avatar in play anywhere, chosen by this player. 
Sysania	3RD	170	Cleric	4	GH	Uncommon	Flyer. Sysania confers the ability to fly on all allies played with her. 
Kiara	3RD	171	Hero	2	GH	Uncommon	Elf. Kiara can destroy one magical item being used against her. The affected item is discarded. Elf. 
Hettman Tsurin	3RD	172	Hero	2	GH	Rare	If Hettman does not attack, at the end of his turn the player can randomly draw one card from another player's hand and discard it. 
Griffon	3RD	173	Magical Item	2	AD&D	Rare	The attached champion becomes a flyer. (Def)
Sea Zombie	3RD	174	Ally	4	AD&D	Rare	Undead.
Mist Wolf	3RD	175	Event		AD&D	Rare	No allies can be played until this player's next turn. Allies in play are discarded immediately. (Harmful) 
Tyrinon	3RD	176	Hero	5	GH	Uncommon	Tyrinon's allies all become flyers. They are strengthened by his presence, and each gains 2 levels. 
Quagmiela the Dragon	3RD	177	Monster	5	GH	Uncommon	"Alone of monsters, Quagmiela can stand against the Lovely Colleen (perhaps because he attacks from behind); combat is resolved normally. Dragon. "
Seragrimm the Just	3RD	178	Hero	5	GH	Rare	Undead. Seragrimm can only defend, but never attack.
Skulk	3RD	179	Ally	1	AD&D	Rare	This player can now play allies face down, their value is not revealed until both players pass and the winner is determined.
Berserk Fury!	3RD	180	Event		AD&D	Rare	Only this player's heroes gain 5 levels until the end of his next turn. Helpful. 
Wolf Nomads	3RD	181	Hero	4	GH	Common	The nomads gain 2 levels if Mika is in the player's pool. 
Zadoc	3RD	182	Ally	2	AD&D	Rare	
Miles	3RD	183	Ally	2	AD&D	Uncommon	If played against a champion who has 4 or more attached cards, Miles strips the champion of all but one card (chosen by the opposing player). 
Trystan	3RD	184	Ally	2	AD&D	Common	This ally negates the special power of one ally (chosen by this player). 
Thorvid	3RD	185	Hero	5	GH	Rare	Thorvid gains 3 levels when fighting monsters, undead, or flyers. 
Fairy Madness	3RD	186	Event		AD&D	Rare	Fairy madness affects one champion (not currently in battle). That champion is turned face down and cannot be used until after its next turn.
Nenioc	3RD	187	Cleric	5	GH	Uncommon	Nenioc may be sacrificed to bring out an avatar, but she is shuffled back into the player's draw pile rather than discarded. 
Young Gold Dragon	3RD	188	Monster	4	GH	Common	Flyer. The Dragon can use wizard spells. Dragon. 
Arch-Druid	3RD	189	Cleric	4	GH	Rare	All other clerics must ask the arch-druid for permission to cast spells. While the arch-druid is in play, no avatars may be played. 
Hell Hound	3RD	190	Ally	5	AD&D	Uncommon	All cards friendly to the hell hound are immune to offensive spells. 
Griffin	3RD	191	Monster	4	GH	Rare	Flyer.
Giant Skeleton	3RD	192	Ally	3	AD&D	Rare	Undead. Level rises to 6 if played from 6 pm to 6 am. Any magical item weapons held by the opposing champion are discarded and no more can be played. 
Skeleton	3RD	193	Ally	1	AD&D	Common	Undead. The skeleton multiplies: It gains 4 levels for each additional undead ally played with it. 
Winged Horror	3RD	194	Monster	7	GH	Uncommon	Undead. Flyer. Any magical item weapons attached to the horror are doubled in level. 
Treants of the Grandwood	3RD	195	Ally	5	AD&D	Uncommon	The treants and all cards in the player's force are immune to all offensive wizard spells except fireball. 
Rangers of Hornwood	3RD	196	Hero	4	GH	Common	This ranger automatically defeats all Forgotten Realms heroes. 
Magical Barding	3RD	197	Magic Item	2	AD&D	Rare	(Def)
Border Forts	3RD	198	Holding		FR	Common	Only flyers can attack the attached realm. 
Ren's Crystal Ball	3RD	199	Artifact		GH	Common	At the beginning of his turn, the owner of Ren's Crystal Ball can inspect the top three cards of any deck and discard one. 
Falcon Figurine	3RD	200	Magic Item	1	AD&D	Uncommon	"Confers the ability to teleport; the attached champion and all allies can attack any realm, regardless of powers. (Def) "
Transformation!	3RD	201	Event		AD&D	Common	All players must discard their hands immediately and draw five cards. (Harmful) Harmful. 
Enslaved!	3RD	202	Event		AD&D	Uncommon	All opposing players must discard one champion from their pool (chosen by this player). (Harmful) Harmful. 
Siege	3RD	203	Event		AD&D	Common	"This player can swap two of his opponents' realms with each other in their formations; any attached holdings are discarded. (Harmful) Harmful. "
Bribery!	3RD	204	Event		AD&D	Rare	Play immediately after champions are selected. The bribed champion returns to the owner's pool and that player must select another champion or lose the battle. (Harmful) Harmful. 
Charge!	3RD	205	Event		AD&D	Uncommon	All of this player's champions gain 3 levels until the end of the player's next turn. Helpful. 
Magic Sword	3RD	206	Magic Item	2	AD&D	Common	If the combat level of the attached hero or monster is greater than 20 (after all modifiers), the champion automatically wins the battle. (Off) Sword. 
Enlarge	3RD	207	Wizard Spell	3	AD&D	Rare	Champion can attack flyers with an additional +3. (Def/4)
Ring of Shooting Stars	3RD	208	Magic Item	4	AD&D	Rare	Hero can ?lend? +1 to a champion in a combat where he is not involved. (Off)
Arms of Veluna	3RD	209	Holding		GH	Common	All allies played in the successful defense of any Greyhawk realm held by this player are resurrected (returned to his hand) instead of discarded. 
Fast Talking!	3RD	210	Event		AD&D	Uncommon	Everyone is convinced all artifacts and magical items in play no longer work. All players discard all magical items and artifacts. (Harmful) Harmful. 
Flight	3RD	211	Wizard Spell		AD&D	Common	This player's champions and allies put forward in battle become flyers for this turn. (Def/3/4) 
Shapechange	3RD	212	Wizard Spell	6	AD&D	Rare	The caster can choose to become a different champion type (cleric, wizard, hero, monster or psionicist) for this round of battle. (Def/3/4) 
Barbarian Raiders!	3RD	213	Event		AD&D	Rare	All players who have four or more unrazed realms in play must discard a realm from their formation or two realms from their hand. This event is immune to Limited Wish. (Harmful) Harmful. 
Treasure Fleet	3RD	214	Event		AD&D	Rare	All players draw three cards face up. Any realms drawn must be discarded immediately. All other cards are kept in the hand. (Harmful) Harmful 
Potion of Fire-Breathing	3RD	215	Magic Item	6	AD&D	Rare	Discard after one use. (Off)
Arms of the Shield Lands	3RD	216	Holding		GH	Common	Attach this holding to a razed Greyhawk realm to rebuild it instantly.
Net of Entrapment	3RD	217	Magic Item		AD&D	Uncommon	Attach this holding to a razed Greyhawk realm to rebuild it instantly, causing one other Greyhawk realm in play to be razed (chosen by this player). Limit one per deck. 
Johydee's Mask	3RD	218	Artifact		GH	Rare	This champion's opponent cannot play allies. (Off) 
Helm of Teleportation	3RD	219	Magic Item		AD&D	Rare	One other champion (belonging to the same player) can join this champion as an ally. That champion returns to the pool after this round but cannot be used again this battle. (Def)
Rod of Dispel Magic	3RD	220	Artifact		GH	Uncommon	A champion with this rod can cancel one magic spell when attacking or defending. 
Draj	3RD	221	Realm		DS	Realm	Nonflying attackers lose 2 levels. 
Raam	3RD	222	Realm		DS	Realm	All defenders of this realm gain 1 level. 
Urik	3RD	223	Realm	4	DS	Realm	Allies cannot be played to attack Urik. Urik can defend itself as a level 4 champion. 
Tyr	3RD	224	Realm	5	DS	Realm	Owner draws one extra card per turn. Tyr can defend itself as a level 5 hero. 
Gulg	3RD	225	Realm	7	DS	Uncommon	The first ally to attack Gulg itself each battle is destroyed. Gulg can defend itself as a level 7 hero. 
Nibenay	3RD	226	Realm		DS	Uncommon	This card is not flipped face down unless Nibenay is razed twice in a row. 
Balic	3RD	227	Realm	4	DS	Realm	All attacking allies are halved (round up). Balic can defend itself as a level 4 hero. 
The Mud Palace	3RD	228	Holding		DS	Uncommon	The Mud Palace increases hand size by two cards. 
North Ledopolus	3RD	229	Holding		DS	Uncommon	One card can be drawn and played immediately in defense of the attached realm. 
South Ledopolus	3RD	230	Holding		DS	Uncommon	The attached realm can use any ally as a champion. The ally is still discarded after the battle. 
Altaruk	3RD	231	Holding		DS	Common	Any champion defending the attached realm can cast cleric spells. 
Salt View	3RD	232	Holding		DS	Common	Avatars cannot attack any realm held by this player. 
Ogo	3RD	233	Holding		DS	Uncommon	All champions and allies who attack the attached realm lose 3 levels - any reduced to 0 are discarded immediately. 
Makla	3RD	234	Holding		DS	Uncommon	Makla adds 1 level to all defenders of the attached realm. 
Kalidnay	3RD	235	Holding		DS	Common	Any monster defending the attached realm gains 4 levels. 
Arkhold	3RD	236	Holding		DS	Common	Allows owner to draw one extra card per turn. 
Salt View	3RD	237	Holding		DS	Common	Defending champion gains 2 levels. 
